Borda count

Preference Schedule:
Voter 1: Sayan, Jayadev, Vishal, Vishesh, Hardeep, Aditya, Somy, Govind, Sachin, Amrish
Voter 82: Vishesh, Somy, Sayan, Sachin, Jayadev, Vishal, Aditya, Amrish, Hardeep, Govind
Voter 83: Vishal, Somy, Hardeep, Sachin, Govind, Sayan, Amrish, Jayadev, Aditya, Vishesh
Voter 84: Vishesh, Sayan, Vishal, Hardeep, Somy, Amrish, Govind, Aditya, Jayadev, Sachin
Voter 85: Govind, Somy, Sayan, Jayadev, Amrish, Vishesh, Aditya, Sachin, Vishal, Hardeep
Voter 86: Hardeep, Jayadev, Amrish, Vishal, Sayan, Govind, Somy, Sachin, Aditya, Vishesh
Voter 87: Sachin, Govind, Vishesh, Amrish, Aditya, Somy, Sayan, Jayadev, Vishal, Hardeep
Voter 88: Amrish, Sayan, Vishesh, Somy, Aditya, Hardeep, Vishal, Jayadev, Govind, Sachin
Voter 89: Jayadev, Vishesh, Sayan, Amrish, Somy, Vishal, Govind, Aditya, Hardeep, Sachin
Voter 90: Somy, Amrish, Sayan, Vishal, Sachin, Govind, Aditya, Vishesh, Hardeep, Jayadev
Voter 91: Somy, Vishal, Govind, Sachin, Jayadev, Sayan, Vishesh, Hardeep, Amrish, Aditya
Voter 92: Sayan, Hardeep, Vishesh, Aditya, Jayadev, Vishal, Govind, Amrish, Sachin, Somy
Voter 93: Govind, Vishesh, Sayan, Sachin, Somy, Amrish, Vishal, Jayadev, Hardeep, Aditya
Voter 94: Sayan, Amrish, Hardeep, Govind, Vishal, Aditya, Somy, Vishesh, Sachin, Jayadev
Voter 95: Jayadev, Govind, Sayan, Vishal, Sachin, Amrish, Aditya, Vishesh, Somy, Hardeep
Voter 96: Vishesh, Sayan, Jayadev, Hardeep, Govind, Aditya, Vishal, Sachin, Somy, Amrish
Voter 97: Amrish, Hardeep, Vishal, Vishesh, Somy, Jayadev, Sayan, Aditya, Sachin, Govind
Voter 98: Amrish, Sayan, Vishal, Vishesh, Govind, Sachin, Somy, Jayadev, Aditya, Hardeep
Voter 99: Somy, Jayadev, Sayan, Amrish, Sachin, Aditya, Govind, Vishesh, Vishal, Hardeep
Voter 100: Hardeep, Amrish, Sayan, Govind, Somy, Vishal, Aditya, Vishesh, Jayadev, Sachin
Voter 101: Amrish, Aditya, Hardeep, Vishal, Somy, Sachin, Govind, Jayadev, Vishesh, Sayan
Voter 102: Hardeep, Sachin, Govind, Vishal, Somy, Aditya, Vishesh, Sayan, Jayadev, Amrish
Voter 103: Vishesh, Vishal, Amrish, Sachin, Jayadev, Somy, Aditya, Hardeep, Sayan, Govind
Voter 104: Vishal, Somy, Amrish, Aditya, Sachin, Hardeep, Sayan, Govind, Jayadev, Vishesh
Voter 105: Sachin, Govind, Sayan, Somy, Jayadev, Vishesh, Aditya, Hardeep, Vishal, Amrish
Voter 106: Jayadev, Vishesh, Somy, Sayan, Vishal, Amrish, Hardeep, Sachin, Aditya, Govind
Voter 107: Sayan, Jayadev, Vishesh, Sachin, Amrish, Vishal, Govind, Somy, Aditya, Hardeep
Voter 108: Hardeep, Vishesh, Amrish, Sayan, Jayadev, Somy, Aditya, Vishal, Sachin, Govind
Voter 109: Sachin, Govind, Amrish, Hardeep, Vishesh, Sayan, Vishal, Aditya, Somy, Jayadev
Voter 110: Sayan, Aditya, Amrish, Govind, Jayadev, Sachin, Vishesh, Somy, Hardeep, Vishal
Voter 111: Vishesh, Sayan, Govind, Sachin, Amrish, Somy, Vishal, Jayadev, Aditya, Hardeep
Voter 112: Amrish, Somy, Govind, Aditya, Vishal, Jayadev, Sachin, Sayan, Vishesh, Hardeep
Voter 113: Vishesh, Govind, Amrish, Sachin, Aditya, Jayadev, Somy, Sayan, Vishal, Hardeep
Voter 114: Aditya, Sachin, Somy, Hardeep, Amrish, Jayadev, Govind, Vishesh, Sayan, Vishal
Voter 115: Aditya, Somy, Sayan, Amrish, Vishesh, Govind, Vishal, Sachin, Jayadev, Hardeep
Voter 116: Govind, Vishal, Jayadev, Aditya, Sachin, Hardeep, Vishesh, Somy, Amrish, Sayan
Voter 117: Vishesh, Jayadev, Sayan, Somy, Sachin, Amrish, Aditya, Vishal, Govind, Hardeep
Voter 118: Jayadev, Amrish, Govind, Sayan, Aditya, Vishal, Sachin, Vishesh, Somy, Hardeep
Voter 119: Govind, Hardeep, Aditya, Somy, Sachin, Vishal, Jayadev, Sayan, Amrish, Vishesh
Voter 120: Vishal, Govind, Aditya, Sayan, Somy, Hardeep, Sachin, Amrish, Vishesh, Jayadev
Voter 121: Aditya, Sachin, Vishal, Vishesh, Hardeep, Govind, Sayan, Somy, Amrish, Jayadev
Voter 122: Hardeep, Vishesh, Jayadev, Sayan, Aditya, Somy, Amrish, Vishal, Govind, Sachin
Voter 123: Somy, Sayan, Vishesh, Sachin, Aditya, Hardeep, Amrish, Jayadev, Vishal, Govind
Voter 124: Vishesh, Aditya, Sayan, Govind, Somy, Amrish, Jayadev, Sachin, Vishal, Hardeep
Voter 125: Somy, Jayadev, Amrish, Hardeep, Sachin, Vishesh, Govind, Aditya, Vishal, Sayan
Voter 126: Sachin, Amrish, Govind, Vishal, Vishesh, Jayadev, Somy, Sayan, Aditya, Hardeep
Voter 127: Sachin, Sayan, Somy, Jayadev, Vishesh, Govind, Amrish, Hardeep, Aditya, Vishal
Voter 128: Amrish, Jayadev, Sayan, Govind, Vishesh, Hardeep, Sachin, Aditya, Somy, Vishal
Voter 129: Sayan, Amrish, Jayadev, Aditya, Somy, Govind, Vishal, Vishesh, Sachin, Hardeep
Voter 130: Govind, Somy, Vishal, Sayan, Hardeep, Jayadev, Vishesh, Aditya, Sachin, Amrish
Voter 131: Vishesh, Sayan, Somy, Vishal, Sachin, Jayadev, Amrish, Govind, Hardeep, Aditya
Voter 132: Vishesh, Govind, Sayan, Aditya, Hardeep, Amrish, Jayadev, Vishal, Sachin, Somy
Voter 133: Vishesh, Somy, Vishal, Sayan, Hardeep, Govind, Jayadev, Amrish, Aditya, Sachin
Voter 134: Hardeep, Sayan, Vishal, Somy, Aditya, Vishesh, Amrish, Govind, Jayadev, Sachin
Voter 135: Vishesh, Amrish, Somy, Jayadev, Sachin, Govind, Vishal, Hardeep, Aditya, Sayan
Voter 136: Somy, Govind, Jayadev, Vishal, Sayan, Aditya, Vishesh, Amrish, Hardeep, Sachin
Voter 137: Vishesh, Vishal, Sayan, Sachin, Govind, Hardeep, Somy, Amrish, Jayadev, Aditya
Voter 138: Jayadev, Aditya, Vishal, Sachin, Sayan, Govind, Amrish, Hardeep, Somy, Vishesh
Voter 139: Sayan, Sachin, Hardeep, Aditya, Somy, Vishal, Govind, Jayadev, Amrish, Vishesh
Voter 140: Amrish, Hardeep, Aditya, Sayan, Vishesh, Somy, Jayadev, Govind, Vishal, Sachin
Voter 141: Vishal, Aditya, Sachin, Jayadev, Sayan, Hardeep, Vishesh, Somy, Amrish, Govind
Voter 142: Govind, Somy, Amrish, Vishal, Vishesh, Hardeep, Sayan, Jayadev, Sachin, Aditya
Voter 143: Sayan, Aditya, Govind, Hardeep, Somy, Jayadev, Amrish, Vishal, Vishesh, Sachin
Voter 144: Vishesh, Aditya, Sayan, Jayadev, Sachin, Somy, Vishal, Amrish, Hardeep, Govind
Voter 145: Vishesh, Aditya, Govind, Sachin, Vishal, Hardeep, Sayan, Jayadev, Amrish, Somy
Voter 146: Somy, Aditya, Govind, Sachin, Hardeep, Sayan, Amrish, Jayadev, Vishal, Vishesh
Voter 147: Sachin, Vishal, Sayan, Aditya, Jayadev, Govind, Somy, Amrish, Vishesh, Hardeep
Voter 148: Sachin, Jayadev, Vishesh, Amrish, Vishal, Hardeep, Sayan, Aditya, Govind, Somy
Voter 149: Aditya, Somy, Hardeep, Amrish, Vishesh, Jayadev, Govind, Sachin, Sayan, Vishal
Voter 150: Sayan, Sachin, Somy, Hardeep, Aditya, Vishal, Vishesh, Amrish, Govind, Jayadev
Voter 151: Sayan, Hardeep, Govind, Vishesh, Vishal, Somy, Jayadev, Aditya, Sachin, Amrish
Voter 152: Sachin, Amrish, Vishesh, Vishal, Sayan, Hardeep, Jayadev, Aditya, Govind, Somy
Voter 153: Govind, Sayan, Somy, Jayadev, Vishal, Amrish, Vishesh, Hardeep, Sachin, Aditya
Voter 154: Hardeep, Sayan, Vishal, Sachin, Amrish, Jayadev, Govind, Vishesh, Aditya, Somy
Voter 155: Vishesh, Vishal, Aditya, Somy, Sachin, Hardeep, Jayadev, Sayan, Govind, Amrish
Voter 156: Sayan, Vishesh, Jayadev, Vishal, Sachin, Aditya, Amrish, Somy, Hardeep, Govind
Voter 157: Hardeep, Sachin, Govind, Somy, Aditya, Jayadev, Vishesh, Amrish, Vishal, Sayan
Voter 158: Hardeep, Govind, Jayadev, Sachin, Vishesh, Amrish, Somy, Aditya, Sayan, Vishal
Voter 159: Jayadev, Sachin, Vishal, Somy, Sayan, Vishesh, Govind, Amrish, Aditya, Hardeep
Voter 160: Amrish, Hardeep, Aditya, Somy, Govind, Vishesh, Jayadev, Sachin, Vishal, Sayan
Voter 161: Vishesh, Aditya, Sayan, Somy, Jayadev, Amrish, Sachin, Govind, Hardeep, Vishal
Voter 162: Vishal, Jayadev, Amrish, Aditya, Vishesh, Hardeep, Sayan, Sachin, Somy, Govind
Voter 163: Hardeep, Govind, Vishesh, Somy, Sayan, Jayadev, Vishal, Aditya, Amrish, Sachin
Voter 164: Jayadev, Sayan, Vishal, Hardeep, Govind, Vishesh, Aditya, Somy, Sachin, Amrish
Voter 165: Amrish, Govind, Sayan, Hardeep, Somy, Jayadev, Vishal, Sachin, Aditya, Vishesh
Voter 166: Somy, Sachin, Vishesh, Vishal, Aditya, Amrish, Jayadev, Hardeep, Govind, Sayan
Voter 167: Somy, Amrish, Sayan, Jayadev, Vishesh, Aditya, Hardeep, Sachin, Govind, Vishal
Voter 168: Amrish, Vishal, Vishesh, Hardeep, Somy, Jayadev, Aditya, Sachin, Sayan, Govind
Voter 169: Vishesh, Vishal, Hardeep, Aditya, Jayadev, Amrish, Somy, Sachin, Sayan, Govind
Voter 170: Sayan, Aditya, Vishesh, Sachin, Amrish, Vishal, Govind, Jayadev, Somy, Hardeep
Voter 171: Vishesh, Aditya, Hardeep, Vishal, Sayan, Sachin, Somy, Jayadev, Amrish, Govind
Voter 172: Hardeep, Sayan, Amrish, Vishesh, Vishal, Govind, Jayadev, Aditya, Somy, Sachin
Voter 173: Vishal, Govind, Jayadev, Amrish, Vishesh, Hardeep, Sayan, Aditya, Somy, Sachin
Voter 174: Aditya, Sachin, Vishal, Somy, Govind, Amrish, Jayadev, Vishesh, Hardeep, Sayan
Voter 175: Aditya, Jayadev, Govind, Sayan, Vishesh, Amrish, Somy, Hardeep, Sachin, Vishal
Voter 176: Vishesh, Sayan, Jayadev, Vishal, Govind, Hardeep, Aditya, Amrish, Sachin, Somy
Voter 177: Sachin, Hardeep, Sayan, Govind, Somy, Aditya, Amrish, Vishesh, Vishal, Jayadev
Voter 178: Vishal, Hardeep, Amrish, Sayan, Sachin, Somy, Jayadev, Govind, Vishesh, Aditya
Voter 179: Amrish, Hardeep, Sachin, Vishal, Govind, Sayan, Somy, Vishesh, Jayadev, Aditya
Voter 180: Aditya, Somy, Jayadev, Govind, Hardeep, Sayan, Vishal, Amrish, Sachin, Vishesh
Voter 181: Somy, Aditya, Sayan, Hardeep, Vishal, Govind, Sachin, Vishesh, Amrish, Jayadev
Voter 182: Amrish, Jayadev, Sachin, Hardeep, Vishesh, Aditya, Sayan, Somy, Govind, Vishal
Voter 183: Vishal, Sachin, Govind, Jayadev, Vishesh, Somy, Sayan, Hardeep, Amrish, Aditya
Voter 184: Vishal, Somy, Sayan, Aditya, Jayadev, Amrish, Hardeep, Vishesh, Sachin, Govind
Voter 185: Hardeep, Vishesh, Sayan, Sachin, Amrish, Govind, Somy, Jayadev, Vishal, Aditya
Voter 186: Vishesh, Aditya, Hardeep, Jayadev, Govind, Amrish, Sachin, Sayan, Vishal, Somy
Voter 187: Hardeep, Vishal, Govind, Sayan, Somy, Vishesh, Jayadev, Amrish, Aditya, Sachin
Voter 188: Sachin, Hardeep, Sayan, Amrish, Vishesh, Jayadev, Govind, Aditya, Somy, Vishal
Voter 189: Jayadev, Vishal, Somy, Hardeep, Vishesh, Sayan, Sachin, Govind, Aditya, Amrish
Voter 190: Vishal, Aditya, Hardeep, Sayan, Amrish, Jayadev, Somy, Vishesh, Sachin, Govind
Voter 191: Aditya, Hardeep, Vishesh, Govind, Sachin, Somy, Amrish, Sayan, Vishal, Jayadev
Voter 192: Sachin, Govind, Vishal, Vishesh, Sayan, Jayadev, Hardeep, Somy, Amrish, Aditya
Voter 193: Somy, Sachin, Hardeep, Amrish, Jayadev, Aditya, Vishal, Vishesh, Govind, Sayan
Voter 194: Jayadev, Govind, Amrish, Vishesh, Sayan, Aditya, Somy, Sachin, Vishal, Hardeep
Voter 195: Govind, Somy, Sachin, Sayan, Aditya, Vishal, Hardeep, Amrish, Vishesh, Jayadev
Voter 196: Vishal, Sayan, Sachin, Jayadev, Vishesh, Govind, Somy, Aditya, Amrish, Hardeep
Voter 197: Vishesh, Somy, Govind, Amrish, Vishal, Sachin, Hardeep, Jayadev, Aditya, Sayan
Voter 198: Jayadev, Hardeep, Vishal, Govind, Somy, Aditya, Vishesh, Amrish, Sayan, Sachin
Voter 199: Hardeep, Sayan, Vishal, Amrish, Govind, Vishesh, Sachin, Jayadev, Aditya, Somy
Voter 200: Sachin, Aditya, Govind, Somy, Amrish, Vishal, Sayan, Jayadev, Hardeep, Vishesh
Voter 201: Somy, Vishesh, Amrish, Vishal, Aditya, Sachin, Govind, Sayan, Hardeep, Jayadev
Voter 202: Hardeep, Vishesh, Vishal, Somy, Jayadev, Govind, Amrish, Aditya, Sachin, Sayan
Voter 203: Aditya, Sayan, Vishesh, Vishal, Sachin, Somy, Hardeep, Jayadev, Amrish, Govind
Voter 204: Aditya, Amrish, Jayadev, Sachin, Vishesh, Somy, Govind, Vishal, Sayan, Hardeep
Voter 205: Somy, Jayadev, Amrish, Sayan, Aditya, Govind, Sachin, Vishesh, Hardeep, Vishal
Voter 206: Aditya, Amrish, Vishesh, Govind, Somy, Sachin, Sayan, Vishal, Hardeep, Jayadev
Voter 207: Jayadev, Amrish, Sayan, Aditya, Vishesh, Sachin, Govind, Hardeep, Vishal, Somy
Voter 208: Govind, Amrish, Sayan, Hardeep, Sachin, Somy, Vishal, Aditya, Jayadev, Vishesh
Voter 209: Vishesh, Aditya, Somy, Hardeep, Jayadev, Govind, Amrish, Sayan, Sachin, Vishal
Voter 210: Aditya, Somy, Sayan, Jayadev, Vishal, Hardeep, Sachin, Vishesh, Amrish, Govind
Voter 211: Vishal, Govind, Aditya, Vishesh, Sayan, Somy, Hardeep, Amrish, Jayadev, Sachin
Voter 212: Aditya, Govind, Vishal, Somy, Sayan, Jayadev, Amrish, Sachin, Vishesh, Hardeep
Voter 213: Amrish, Hardeep, Sayan, Vishal, Aditya, Jayadev, Vishesh, Sachin, Somy, Govind
Voter 214: Govind, Hardeep, Vishesh, Somy, Sachin, Vishal, Aditya, Amrish, Jayadev, Sayan
Voter 215: Somy, Jayadev, Vishal, Hardeep, Sayan, Vishesh, Govind, Amrish, Aditya, Sachin
Voter 216: Hardeep, Aditya, Sayan, Somy, Amrish, Vishesh, Vishal, Sachin, Govind, Jayadev
Voter 217: Sachin, Jayadev, Aditya, Hardeep, Amrish, Somy, Sayan, Vishal, Vishesh, Govind
Voter 218: Hardeep, Sachin, Aditya, Vishal, Amrish, Vishesh, Somy, Jayadev, Sayan, Govind
Voter 219: Hardeep, Sachin, Vishesh, Amrish, Jayadev, Govind, Somy, Vishal, Aditya, Sayan
Voter 220: Vishesh, Amrish, Vishal, Govind, Somy, Jayadev, Hardeep, Sachin, Aditya, Sayan
Voter 221: Hardeep, Amrish, Somy, Jayadev, Aditya, Sachin, Govind, Vishal, Sayan, Vishesh
Voter 222: Govind, Sayan, Jayadev, Amrish, Hardeep, Vishal, Somy, Aditya, Vishesh, Sachin
Voter 223: Jayadev, Sachin, Govind, Amrish, Vishal, Sayan, Vishesh, Somy, Aditya, Hardeep
Voter 224: Aditya, Somy, Amrish, Govind, Sachin, Jayadev, Vishal, Hardeep, Vishesh, Sayan
Voter 225: Vishal, Amrish, Govind, Aditya, Hardeep, Somy, Jayadev, Sayan, Sachin, Vishesh
Voter 226: Somy, Govind, Aditya, Jayadev, Hardeep, Sayan, Vishal, Sachin, Amrish, Vishesh
Voter 227: Jayadev, Sachin, Hardeep, Vishal, Aditya, Somy, Vishesh, Amrish, Sayan, Govind
Voter 228: Aditya, Sayan, Jayadev, Sachin, Vishal, Amrish, Govind, Somy, Hardeep, Vishesh
Voter 229: Govind, Hardeep, Sayan, Jayadev, Vishal, Aditya, Sachin, Somy, Amrish, Vishesh
Voter 230: Sayan, Jayadev, Hardeep, Vishesh, Sachin, Vishal, Somy, Amrish, Govind, Aditya
Voter 231: Vishal, Govind, Amrish, Hardeep, Aditya, Vishesh, Sachin, Sayan, Somy, Jayadev
Voter 232: Sachin, Amrish, Vishesh, Jayadev, Govind, Sayan, Aditya, Vishal, Somy, Hardeep
Voter 233: Sachin, Somy, Vishesh, Hardeep, Jayadev, Vishal, Amrish, Aditya, Sayan, Govind
Voter 234: Hardeep, Govind, Amrish, Jayadev, Somy, Vishal, Vishesh, Aditya, Sachin, Sayan
Voter 235: Amrish, Vishal, Govind, Sayan, Somy, Hardeep, Sachin, Jayadev, Aditya, Vishesh
Voter 236: Somy, Jayadev, Amrish, Vishal, Sayan, Hardeep, Aditya, Vishesh, Govind, Sachin
Voter 237: Govind, Jayadev, Sachin, Amrish, Aditya, Vishesh, Somy, Vishal, Hardeep, Sayan
Voter 238: Somy, Amrish, Jayadev, Sayan, Vishesh, Aditya, Sachin, Vishal, Govind, Hardeep
Voter 239: Hardeep, Sachin, Vishesh, Jayadev, Govind, Vishal, Somy, Sayan, Aditya, Amrish
Voter 240: Hardeep, Sayan, Vishal, Aditya, Somy, Amrish, Vishesh, Jayadev, Govind, Sachin
Voter 241: Vishesh, Jayadev, Govind, Sayan, Somy, Vishal, Hardeep, Aditya, Sachin, Amrish
Voter 242: Hardeep, Vishal, Sachin, Amrish, Somy, Vishesh, Govind, Jayadev, Sayan, Aditya
Voter 243: Vishesh, Amrish, Sachin, Aditya, Sayan, Somy, Hardeep, Jayadev, Vishal, Govind
Voter 244: Vishal, Govind, Somy, Vishesh, Amrish, Hardeep, Sachin, Jayadev, Sayan, Aditya
